"zip_code","Population","MedianIncome","city","state","latitude","longitude"
91502,12605,40208,"Burbank","CA",34.177606,-118.30954
91504,25544,71296,"Burbank","CA",34.201254,-118.32993
91505,31133,77679,"Burbank","CA",34.166906,-118.34366
91506,18428,70408,"Burbank","CA",34.169663,-118.32364
91601,38781,47202,"North Hollywood","CA",34.168206,-118.37246
91602,18315,63544,"North Hollywood","CA",34.152476,-118.36841
91604,29072,90528,"Studio City","CA",34.143856,-118.39429
91605,56060,43707,"North Hollywood","CA",34.208142,-118.4011
91606,45467,42195,"North Hollywood","CA",34.185698,-118.38836
91607,29591,52274,"Valley Village","CA",34.165706,-118.39986
91608,0,0,"Universal City","CA",34.139397,-118.35034
91701,40822,76994,"Alta Loma","CA",34.131659,-117.5924
91702,60475,54769,"Azusa","CA",34.128907,-117.90309
91706,77692,51234,"Baldwin Park","CA",34.087108,-117.96966
91708,3447,118750,"Chino","CA",34.839964,-115.967051
91709,76187,97609,"Chino Hills","CA",33.975267,-117.72305
91710,83042,71825,"Chino","CA",34.015963,-117.68737
91711,36484,89508,"Claremont","CA",34.110009,-117.71973
91722,36352,63740,"Covina","CA",34.097708,-117.90698
91723,20010,60532,"Covina","CA",34.085809,-117.88694
91724,25405,75420,"Covina","CA",34.088771,-117.85817
91730,66979,61952,"Rancho Cucamonga","CA",34.104555,-117.58734
91731,29209,36955,"El Monte","CA",34.076642,-118.03942
91732,63849,41485,"El Monte","CA",34.070659,-118.01383
91733,43790,40930,"South El Monte","CA",34.05051,-118.04834
91737,24759,98407,"Alta Loma","CA",34.147849,-117.57847
91739,38009,100049,"Rancho Cucamonga","CA",34.127819,-117.5246
91740,26324,67048,"Glendora","CA",34.119245,-117.8548
91741,25678,81250,"Glendora","CA",34.140207,-117.85704
91744,87096,57789,"La Puente","CA",34.029561,-117.93975
91745,55237,76447,"Hacienda Heights","CA",34.000578,-117.96943
91746,29420,59502,"La Puente","CA",34.046889,-117.98464
91748,47859,60896,"Rowland Heights","CA",33.985012,-117.89705
91750,33969,76912,"La Verne","CA",34.117047,-117.77097
91752,28649,62372,"Mira Loma","CA",34.001846,-117.52759
91754,33622,56767,"Monterey Park","CA",34.048207,-118.14161
91755,27305,52517,"Monterey Park","CA",34.05471,-118.11823
91759,369,46250,"Mt Baldy","CA",34.231581,-117.66106
91761,59892,61270,"Ontario","CA",34.036085,-117.6086
91762,56148,50707,"Ontario","CA",34.057561,-117.66563
91763,37432,49056,"Montclair","CA",34.07041,-117.69938
91764,54078,51060,"Ontario","CA",34.077327,-117.6222
91765,47562,90966,"Diamond Bar","CA",34.004172,-117.81673
91766,71851,48896,"Pomona","CA",34.045584,-117.75305
91767,49027,49206,"Pomona","CA",34.080143,-117.73861
91768,36454,47177,"Pomona","CA",34.06521,-117.77932
91770,63119,47078,"Rosemead","CA",34.066143,-118.08475
91773,33869,78501,"San Dimas","CA",34.103341,-117.81814
91775,25395,84620,"San Gabriel","CA",34.114041,-118.09035
91776,37378,48302,"San Gabriel","CA",34.089059,-118.0951
91780,35274,63045,"Temple City","CA",34.101608,-118.05606
91784,26034,95975,"Upland","CA",34.138575,-117.66356
91786,52152,51105,"Upland","CA",34.101659,-117.65776
91789,43369,93509,"Walnut","CA",34.018361,-117.85438
91790,46059,66057,"West Covina","CA",34.068059,-117.93835
91791,33174,70841,"West Covina","CA",34.063645,-117.89743
91792,30102,66848,"West Covina","CA",34.020711,-117.89932
91801,53792,51225,"Alhambra","CA",34.090409,-118.127
91803,30586,56632,"Alhambra","CA",34.072959,-118.1462
91901,18184,81379,"Alpine","CA",32.823102,-116.73864
91902,19504,88926,"Bonita","CA",32.663803,-117.02456
91905,1370,63722,"Boulevard","CA",32.672239,-116.31497
91906,3644,58353,"Campo","CA",32.664307,-116.46513
91910,76797,54640,"Chula Vista","CA",32.638654,-117.06686
91911,83710,48891,"Chula Vista","CA",32.608799,-117.0607
91913,43655,84741,"Chula Vista","CA",32.642486,-116.98973
91914,16926,110343,"Chula Vista","CA",32.662563,-116.95413
91915,27290,99606,"Chula Vista","CA",32.638072,-116.95195
91916,1580,61296,"Descanso","CA",32.890384,-116.62459
91917,896,66932,"Dulzura","CA",32.616539,-116.71187
91931,331,24032,"Guatay","CA",32.852086,-116.55559
91932,26257,48117,"Imperial Beach","CA",32.579555,-117.11708
91934,293,45625,"Jacumba","CA",32.624424,-116.17025
91935,8426,93092,"Jamul","CA",32.718186,-116.82606
91941,33474,71661,"La Mesa","CA",32.761801,-117.01273
91942,39438,52354,"La Mesa","CA",32.785,-117.0186
91945,26027,52376,"Lemon Grove","CA",32.733451,-117.0337
91948,47,0,"Mount Laguna","CA",32.875267,-116.42826
91950,61262,39533,"National City","CA",32.670903,-117.09272
91962,1722,100398,"Pine Valley","CA",32.773317,-116.49139
91963,1043,39622,"Potrero","CA",32.620782,-116.60671
91977,59481,60124,"Spring Valley","CA",32.721145,-116.99612
91978,9812,66483,"Spring Valley","CA",32.732539,-116.95091
91980,631,200325,"Tecate","CA",32.588485,-116.63034
92003,4306,69205,"Bonsall","CA",33.289265,-117.20011
92004,2624,36500,"Borrego Springs","CA",33.184028,-116.26597
92007,11782,93889,"Cardiff By The Sea","CA",33.026742,-117.27816
92008,26464,66000,"Carlsbad","CA",33.158137,-117.32646
92009,43627,102212,"Carlsbad","CA",33.097841,-117.26744
92014,13525,114777,"Del Mar","CA",32.961812,-117.25967
92019,44357,74797,"El Cajon","CA",32.788736,-116.90487
92020,58305,49851,"El Cajon","CA",32.7991,-116.97334
92021,66854,50035,"El Cajon","CA",32.8201,-116.91234
92024,49226,92402,"Encinitas","CA",33.053092,-117.26855
92025,49734,45433,"Escondido","CA",33.106862,-117.07077
92026,49981,53820,"Escondido","CA",33.181543,-117.11136
92027,56892,53473,"Escondido","CA",33.142706,-117.03049
92028,48335,57223,"Fallbrook","CA",33.380359,-117.20605
92029,19528,68108,"Escondido","CA",33.087868,-117.11558
92036,2977,51667,"Julian","CA",33.02757,-116.53109
92037,39241,95306,"La Jolla","CA",32.838761,-117.26159
92040,42323,64787,"Lakeside","CA",32.873849,-116.90477
92054,42992,50568,"Oceanside","CA",33.202463,-117.36077
92055,12725,48147,"Camp Pendleton","CA",33.016928,-116.846046
92056,52758,63728,"Oceanside","CA",33.195354,-117.28232
92057,55618,64976,"Oceanside","CA",33.240926,-117.29851
92058,45685,46655,"Oceanside","CA",33.016928,-116.846046
92059,1450,66417,"Pala","CA",33.369249,-117.07236
92060,61,104125,"Palomar Mountain","CA",33.308217,-116.8471
92061,1824,68333,"Pauma Valley","CA",33.311881,-116.96499
92064,49079,96297,"Poway","CA",32.973645,-117.03701
92065,36039,77361,"Ramona","CA",33.035844,-116.8513
92066,273,43295,"Ranchita","CA",33.209313,-116.54244
92067,9020,119939,"Rancho Santa Fe","CA",33.016492,-117.20264
92069,47130,52457,"San Marcos","CA",33.144908,-117.17128
92070,1193,43333,"Santa Ysabel","CA",33.166768,-116.71061
92071,55362,74393,"Santee","CA",32.84681,-116.98983
92075,12437,90833,"Solana Beach","CA",32.997543,-117.26087
92078,45926,55530,"San Marcos","CA",33.122029,-117.15605
92082,19825,79348,"Valley Center","CA",33.261748,-117.01027
92083,36604,46073,"Vista","CA",33.179587,-117.24461
